"Measure code","SEX","YES_NO","COUNTRY_REGION","YEAR","VALUE"
"HFA_639","MALE","","WHO_EURO","2007","15.53862679"
"HFA_639","MALE","","WHO_EURO","2008","15.51967596"
"HFA_639","MALE","","WHO_EURO","2009","20.23124392"
"HFA_639","MALE","","WHO_EURO","2010","20.39512306"
"HFA_639","MALE","","WHO_EURO","2011","20.23644076"
"HFA_639","MALE","","WHO_EURO","2012","21.33038045"
"HFA_639","MALE","","WHO_EURO","2013","21.73646714"
"HFA_639","MALE","","WHO_EURO","2014","21.38554049"
"HFA_639","MALE","","WHO_EURO","2015","20.47250902"
"HFA_639","MALE","","WHO_EURO","2016","19.56847962"
"HFA_640","FEMALE","","ALB","1990","31"
"HFA_640","FEMALE","","ALB","1991","23"
"HFA_640","FEMALE","","ALB","1992","24"
"HFA_640","FEMALE","","ALB","1993","14"
"HFA_640","FEMALE","","ALB","1994","29"
"HFA_640","FEMALE","","ALB","1995","21"
"HFA_640","FEMALE","","ALB","1996","22"
"HFA_640","FEMALE","","ALB","1997","17"
"HFA_640","FEMALE","","ALB","1998","13"
"HFA_640","FEMALE","","ALB","1999","8"
"HFA_640","FEMALE","","ALB","2000","12"
"HFA_640","FEMALE","","ALB","2001","12"
"HFA_640","FEMALE","","ALB","2002","11"
"HFA_640","FEMALE","","ALB","2003","8"
"HFA_640","FEMALE","","ALB","2004","3"
"HFA_640","FEMALE","","ALB","2005","9"
"HFA_640","FEMALE","","ALB","2006","6"
"HFA_640","FEMALE","","ALB","2007","5"
"HFA_640","FEMALE","","ALB","2008","7"
"HFA_640","FEMALE","","ALB","2009","0"
"HFA_640","FEMALE","","ALB","2010","2"
"HFA_640","FEMALE","","ALB","2011","2"
"HFA_640","FEMALE","","ALB","2012","2"
"HFA_640","FEMALE","","ALB","2013","4"
"HFA_640","FEMALE","","ALB","2014","1"
"HFA_640","FEMALE","","ALB","2015","2"
"HFA_640","FEMALE","","ALB","2016","1"
"HFA_640","FEMALE","","ALB","2017","3"
"HFA_640","FEMALE","","ALB","2018","1"
"HFA_640","FEMALE","","AND","1997","0"
"HFA_640","FEMALE","","AND","1998","0"
"HFA_640","FEMALE","","AND","1999","0"
"HFA_640","FEMALE","","AND","2000","0"
"HFA_640","FEMALE","","AND","2001","0"
"HFA_640","FEMALE","","AND","2002","0"
"HFA_640","FEMALE","","AND","2003","0"
"HFA_640","FEMALE","","AND","2004","0"
"HFA_640","FEMALE","","AND","2005","0"
"HFA_640","FEMALE","","AND","2006","0"
"HFA_640","FEMALE","","AND","2007","0"
"HFA_640","FEMALE","","AND","2008","0"
"HFA_640","FEMALE","","AND","2009","0"
"HFA_640","FEMALE","","AND","2010","0"
"HFA_640","FEMALE","","AND","2011","0"
"HFA_640","FEMALE","","AND","2012","0"
"HFA_640","FEMALE","","AND","2013","0"
